Name;Owner Type;Created at (Year);Created at (Month);Created at (Day);Last Updated at (Year);Last Updated at (Month);Last Updated at (Day);Size;Stars;Watchers;Language;Has Wiki;Forks;Open Issues;Num. Cmts. Dom;Num. Cmts. Seg;Num. Cmts. Ter;Num. Cmts. Qua;Num. Cmts. Qui;Num. Cmts. Sex;Num. Cmts. Sab;Total Commits
laverna;Organization;2014;1;21;2015;4;28;5329;2194;2194;JavaScript;True;215;109;117;110;105;122;95;131;106;786
SmoothProgressBar;User;2013;11;27;2015;4;28;16466;2193;2193;Java;True;697;8;24;15;20;14;23;9;24;129
GMGridView;User;2011;10;10;2015;4;28;654;2190;2190;Objective-C;True;557;124;29;29;17;17;15;5;7;119
beautiful-docs;User;2012;1;4;2015;4;28;921;2189;2189;None;True;172;18;2;18;30;36;18;24;3;131
python-oauth2;Organization;2009;10;21;2015;4;28;1464;2189;2189;Python;True;866;125;12;52;44;42;31;29;9;219
chronic;User;2008;1;29;2015;4;28;1589;2187;2187;Ruby;True;309;81;56;114;64;67;63;88;54;506
coursera;Organization;2012;3;21;2015;4;28;2323;2187;2187;HTML;True;801;71;102;56;92;93;67;84;74;568
TMCache;Organization;2012;12;21;2015;4;28;3626;2186;2186;Objective-C;True;265;15;9;39;43;31;38;33;22;215
prelude;User;2011;10;6;2015;4;28;5904;2186;2186;Emacs Lisp;True;1001;90;119;101;121;132;148;98;117;836
peco;Organization;2014;6;6;2015;4;28;3309;2186;2186;Go;True;73;9;42;113;104;147;85;81;68;640
create;User;2011;11;1;2015;4;28;11762;2185;2185;JavaScript;True;268;51;17;44;138;112;88;56;42;497
FXForms;User;2014;3;4;2015;4;28;3013;2184;2184;Objective-C;True;247;161;14;25;35;21;23;27;9;154
django-social-auth;User;2010;11;7;2015;4;25;4851;2183;2183;Python;False;736;53;167;232;188;184;192;153;94;1210
ui;User;2014;2;17;2015;4;27;8934;2182;2182;Go;True;116;49;332;377;447;359;369;353;349;2586
log;User;2013;4;12;2015;4;28;597;2181;2181;JavaScript;True;113;3;0;14;12;8;0;13;6;53
Ratchet;Organization;2012;4;16;2015;4;28;2405;2177;2177;PHP;False;272;33;86;82;75;59;59;63;84;508
drag-sort-listview;User;2012;6;1;2015;4;28;2315;2176;2176;Java;True;1254;48;18;17;20;16;28;32;12;143
Hacker-Typer;User;2011;5;23;2015;4;6;206;452;452;JavaScript;True;173;11;0;3;0;0;1;0;0;4
grunt-devperf;User;2014;3;21;2015;4;18;1138;451;451;JavaScript;True;4;2;0;6;19;12;23;38;5;103
